PDB ID,Chain ID,Macromolecule Name,Exp. Method,Classification,Ligand Name
"4LMH","D","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","CALCIUM ION"
"4LMH","D","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","DIMETHYL SULFOXIDE"
"4LMH","D","Extracellular iron oxide respiratory system surface decaheme cytochrome c component OmcA","X-RAY DIFFRACTION","ELECTRON TRANSPORT","HEME C"
"4XK8","1","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","1","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","1","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","1","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4XK8","1","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","1","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4XK8","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4XK8","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4XK8","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","6","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","6","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","6","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","6","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4XK8","6","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4XK8","6","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","6","Chlorophyll a-b binding protein 6, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","7","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","7","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","7","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","7","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4XK8","7","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","7","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","8","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","8","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","8","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","8","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","8","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","9","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","9","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4XK8","9","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","9","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4XK8","9","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","9","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3S,5R,6S,3'S,5'R,6'S)-5,6,5',6'-DIEPOXY-5,6,5',6'- TETRAHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4XK8","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","HEPTYL 1-THIOHEXOPYRANOSIDE"
"4XK8","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4XK8","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"4XK8","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"4XK8","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DIGALACTOSYL DIACYL GLYCEROL (DGDG)"
"4XK8","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-BETA-D-MALTOSIDE"
"4XK8","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"4XK8","C","Photosystem I iron-sulfur center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"4XK8","D","Uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4XK8","E","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4XK8","F","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","F","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","F","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","HEPTYL 1-THIOHEXOPYRANOSIDE"
"4XK8","G","Photosystem I reaction center subunit V, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","G","Photosystem I reaction center subunit V, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","G","Photosystem I reaction center subunit V, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4XK8","H","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4XK8","I","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","HEPTYL 1-THIOHEXOPYRANOSIDE"
"4XK8","K","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","K","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","L","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","L","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","a","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","a","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","a","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","HEPTYL 1-THIOHEXOPYRANOSIDE"
"4XK8","a","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4XK8","a","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"4XK8","a","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"4XK8","b","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","b","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","b","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DIGALACTOSYL DIACYL GLYCEROL (DGDG)"
"4XK8","b","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"4XK8","c","Photosystem I iron-sulfur center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"4XK8","d","Uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4XK8","e","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4XK8","f","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","f","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","f","Photosystem I reaction center subunit III, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","HEPTYL 1-THIOHEXOPYRANOSIDE"
"4XK8","g","Photosystem I reaction center subunit V, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","g","Photosystem I reaction center subunit V, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","h","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4XK8","i","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","j","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","j","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","j","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","HEPTYL 1-THIOHEXOPYRANOSIDE"
"4XK8","k","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","k","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XK8","l","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4XK8","l","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4XXL","A","Cytochrome c class I","X-RAY DIFFRACTION","ELECTRON TRANSPORT","PROTOPORPHYRIN IX CONTAINING FE"
"4Y28","1","Light-harvesting complex I chlorophyll A/B-binding protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4Y28","1","Light-harvesting complex I chlorophyll A/B-binding protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","1","Light-harvesting complex I chlorophyll A/B-binding protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4Y28","1","Light-harvesting complex I chlorophyll A/B-binding protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4Y28","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4Y28","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4Y28","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4Y28","2","Type II chlorophyll a/b binding protein from photosystem I","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4Y28","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4Y28","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","3","Chlorophyll a-b binding protein 3, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4Y28","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL B"
"4Y28","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4Y28","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4Y28","4","Chlorophyll a-b binding protein P4, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(1R,2S)-4-{(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4S)-4-hydroxy-2,6,6-trimethylcyclohex-1-en-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl}-2,5,5-trimethylcyclohex-3-en-1-ol"
"4Y28","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A ISOMER"
"4Y28","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4Y28","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"4Y28","A","Photosystem I P700 chlorophyll a apoprotein A1","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CALCIUM ION"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DIGALACTOSYL DIACYL GLYCEROL (DGDG)"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","DODECYL-ALPHA-D-MALTOSIDE"
"4Y28","B","Photosystem I P700 chlorophyll a apoprotein A2","X-RAY DIFFRACTION","PHOTOSYNTHESIS","PHYLLOQUINONE"
"4Y28","C","Photosystem I iron-sulfur center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","IRON/SULFUR CLUSTER"
"4Y28","D","Photosystem I reaction center subunit II, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4Y28","E","Photosystem I reaction center subunit IV A, chloroplastic","X-RAY DIFFRACTION","PHOTOSYNTHESIS",""
"4Y28","F","Photosystem I reaction center subunit III","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","F","Photosystem I reaction center subunit III","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","F","Photosystem I reaction center subunit III","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4Y28","G","photosystem I reaction center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","G","photosystem I reaction center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","G","photosystem I reaction center","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4Y28","H","Photosystem I reaction center subunit VI","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","I","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","I","Photosystem I reaction center subunit VIII","X-RAY DIFFRACTION","PHOTOSYNTHESIS","(3R,3'R,6S)-4,5-DIDEHYDRO-5,6-DIHYDRO-BETA,BETA-CAROTENE-3,3'-DIOL"
"4Y28","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","J","Photosystem I reaction center subunit IX","X-RAY DIFFRACTION","PHOTOSYNTHESIS","1,2-DISTEAROYL-MONOGALACTOSYL-DIGLYCERIDE"
"4Y28","K","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","K","Photosystem I reaction center subunit X psaK","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"
"4Y28","L","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","BETA-CAROTENE"
"4Y28","L","Putative uncharacterized protein","X-RAY DIFFRACTION","PHOTOSYNTHESIS","CHLOROPHYLL A"


